tenure,MonthlyCharges,TotalCharges,SeniorCitizen_1,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
1.409703935245556,0.3505470339399707,1.2159102249129066,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
1.6143010753887206,0.6304052091129597,1.6218030004844972,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,False,0
-0.9227034623865211,-1.4935184417534764,-0.9372213529739479,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,0
0.10028223832930215,0.9785621056079286,0.4685482501704496,True,True,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0
1.6143010753887206,1.7198531053220965,2.7128381968542254,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,0
-0.02247604575659664,0.6320710315842278,0.12496318944143482,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
-0.963622890415154,0.9619038808952506,-0.6571562194385326,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,0
0.34579880650109973,-1.5135083114086898,-0.6184535851040565,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,0
1.368784507216923,1.1867899145164027,1.9343774652518904,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0
1.2460262231310242,0.5321216833081602,1.2880478799110502,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,0
0.4685570905869985,1.5432759233677105,1.1516850105332572,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,0
0.8368319428446949,-1.5484905833053135,-0.5716181079054449,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,0
0.018443382272036294,-1.4935184417534764,-0.7108902869256927,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,0
-1.0863811745010528,1.336713936930504,-0.7746085761403685,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1
0.182121094386568,1.14347853026344,0.6433713114125141,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1
-1.2909783146442175,-1.521837423765029,-1.0063394972068167,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,0
1.4915427913028219,1.3766936762409312,2.2244488607393853,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,1
0.5913153746728973,0.3089014721582759,0.5324208209570739,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0
-0.10431490181386249,1.4100101256662871,0.4143733781920085,False,True,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,0
1.6143010753887206,1.5199544087699612,2.4595960166132618,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,0
1.6143010753887206,0.8386330180214339,1.8782410132872485,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,0
0.754993086787429,-1.4835235069258697,-0.5649840003116651,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0
0.754993086787429,0.4488305597447706,0.7266172395909404,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,True,True,False,False,0
